,recommended 0,recommended 1,recommended 2,recommended 3,recommended 4
DHI,FBHS,LEN,MAS,NVR,PHM
DHR,ABT,A,MTD,PKI,TMO
DRI,BRK-B,DFS,GL,PBCT,UNP
DVA,CI,HCA,HUM,LH,UHS
DE,CAT,ETN,EMR,ITW,PH
DAL,ALK,AAL,DFS,LUV,UAL
XRAY,ABT,DHR,HSIC,HOLX,TMO
DVN,XEC,EOG,HES,MRO,NBL
FANG,XEC,CXO,DVN,EOG,PXD
DLR,DRE,EQIX,MAA,PLD,O
DFS,AXP,BAC,COF,JPM,MS
DISCA,CTL,DISCK,DISH,IPG,VIAC
DISCK,CTL,CMCSA,DISCA,DISH,VIAC
DISH,CHTR,CMCSA,DISCA,DISCK,VIAC
DG,DLTR,HD,LOW,ROST,TGT
DLTR,DG,GPS,ROST,TGT,TJX
D,LNT,CMS,ED,DTE,WEC
DOV,AME,ETN,EMR,IEX,PH
DTE,LNT,CMS,ED,WEC,XEL
DUK,LNT,AEP,ED,WEC,XEL
DRE,ARE,AIV,AVB,PLD,UDR
DD,CAT,CE,EMN,LYB,PH
DXC,AMP,EMN,LNC,ROK,SIVB
ETFC,SCHW,CMA,LNC,MS,RJF
EMN,CE,ETN,EMR,LYB,PH
ETN,AME,CMI,EMR,ITW,PH
EBAY,GOOGL,GOOG,MA,MSFT,V
ECL,ACN,APD,BRK-B,HON,VRSK
EIX,LNT,ED,ETR,PPL,SRE
EW,ABT,ISRG,MSFT,CRM,TMO
EA,ATVI,MA,MSFT,CRM,TTWO
EMR,AME,CAT,ETN,ITW,PH
ETR,LNT,AEP,CMS,WEC,XEL
EOG,CXO,COP,DVN,FANG,PXD
EFX,ACN,MCO,MSCI,SPGI,VRSK
EQIX,AMT,CCI,DLR,DRE,PLD
EQR,AIV,AVB,ESS,MAA,UDR
ESS,AIV,AVB,EQR,MAA,UDR
EL,ACN,APH,MSFT,VRSK,V
EVRG,LNT,CMS,PNW,WEC,XEL
ES,LNT,AEP,CMS,WEC,XEL
RE,ALL,CB,HIG,TRV,WRB
EXC,LNT,AEE,DTE,ETR,PEG
EXPE,ADSK,BKNG,CERN,HOLX,TMO
EXPD,AME,CHRW,FDX,ODFL,UNP
EXR,EQR,MAA,PSA,O,UDR
XOM,CVX,KMI,OKE,PSX,SLB
FFIV,AMP,CSCO,CTXS,GLW,TROW
FB,GOOGL,GOOG,AMZN,MA,MSFT
FAST,EMR,GWW,ITW,PH,UNP
FRT,BXP,KIM,O,REG,SPG
FDX,EMN,EXPD,ODFL,PH,UPS
FIS,ACN,FISV,MA,PAYX,V
FITB,CMA,HBAN,KEY,RF,TFC
FE,LNT,AEP,CMS,ETR,XEL
FRC,CMA,HBAN,PBCT,RF,ZION
FISV,ADP,FIS,JKHY,PAYX,VRSK
FLT,ANSS,MA,MSFT,MSCI,V
FLIR,AME,ETN,IEX,PH,XYL
FLS,CAT,EMN,ETN,EMR,PH
FMC,ALB,CE,EMN,LYB,PH
F,APTV,BWA,COF,GM,PRU
FTNT,ADBE,ADSK,CRM,NOW,V
FTV,AME,ETN,EMR,ITW,PH
FBHS,AOS,LEG,MAS,PFG,SWK
BEN,AMP,BLK,IVZ,PFG,TROW
FCX,CAT,EMN,LYB,NUE,URI
GPS,KSS,LB,M,JWN,ROST
GRMN,AME,APH,CAT,GLW,PH
IT,ACN,GPN,MA,PKI,V
GD,HON,LMT,NOC,RTN,UTX
GE,C,LNC,PH,PRU,WAB
GIS,CPB,HSY,SJM,K,MDLZ
GM,APTV,BWA,EMN,F,LNC
GPC,AZO,DOV,EMR,ORLY,PBCT
GILD,AMGN,PKI,PFE,REGN,TMO
GL,BRK-B,L,MET,PRU,USB
GPN,ANSS,MA,MSFT,CRM,V
GS,BAC,C,JPM,LNC,MS
GWW,EMR,FAST,PCAR,PH,URI
HRB,FBHS,MAS,PPG,RHI,UNP
HAL,XEC,DVN,EOG,HP,SLB
HBI,GPS,JWN,PVH,RL,VFC
HOG,C,EMN,LNC,MET,PH
HIG,ALL,CB,GL,L,TRV
HAS,AMP,CE,EMN,MAS,SWK
HCA,CNC,CI,PKI,PFE,UHS
PEAK,AVB,O,UDR,VTR,WELL
HP,DVN,EOG,HAL,HES,MRO
HSIC,ABC,CAH,XRAY,MCK,WBA
HSY,CLX,GIS,K,MKC,MDLZ
HES,COP,DVN,EOG,MRO,NBL
HPE,AMP,CSCO,HPQ,MS,NTAP
HLT,BLK,CCL,HST,MAR,V
HFC,DVN,MRO,MPC,PSX,VLO
HOLX,ABT,BDX,DHR,STE,TMO
HD,ACN,BRK-B,BLK,HON,LOW
HON,AME,BRK-B,ITW,ROP,UTX
HRL,GIS,HSY,K,MKC,MDLZ
HST,EMR,HLT,MAR,PBCT,SLG
HPQ,AMP,BLK,CSCO,HPE,TROW
HUM,ANTM,CNC,CI,UNH,WCG
HBAN,CFG,CMA,KEY,RF,TFC
HII,GD,LMT,NOC,RTN,TXT
IEX,AME,ETN,PH,ROP,XYL
IDXX,ABT,BSX,ISRG,MSFT,SNPS
INFO,ACN,MA,MSFT,SPGI,V
ITW,MMM,ETN,EMR,PH,SWK
ILMN,ADBE,BSX,ISRG,MTD,PKI
IR,AME,DOV,ETN,ITW,PH
INTC,ADI,MXIM,MCHP,MSFT,TXN
ICE,AXP,BRK-B,CME,NDAQ,SPGI
IBM,BRK-B,CSCO,MSFT,NTRS,UTX
INCY,ALXN,AMGN,IQV,REGN,VRTX
IP,EMN,EMR,ITW,PKG,WRK
IPG,AMP,BLK,LNC,OMC,VIAC
IFF,EMN,ITW,IP,PPG,WRK
INTU,MA,MSFT,CRM,SNPS,V
ISRG,ADBE,BSX,MA,MSFT,CRM
IVZ,AMP,BLK,BEN,LNC,PRU
IPGP,AMAT,MCHP,MU,SWKS,XLNX
IQV,MA,MTD,MSFT,PKI,TMO
IRM,ARE,AIV,MAA,PLD,O
JKHY,ACN,FIS,FISV,PAYX,V
J,EMR,LNC,PH,PRU,PWR
JBHT,EXPD,KSU,NSC,ODFL,UNP
SJM,CPB,GIS,HSY,K,MDLZ
JNJ,LLY,MRK,PEP,PFE,SYK
JCI,AME,ETN,EMR,IR,PH
JPM,BAC,C,MS,PNC,TFC
JNPR,BLK,CSCO,GLW,MS,TROW
KSU,BLK,JBHT,NSC,ODFL,UNP
K,CPB,GIS,HSY,SJM,MDLZ
KEY,CFG,CMA,FITB,HBAN,RF
KEYS,ADI,ANSS,MCHP,SNPS,TXN
KMB,CHD,CLX,CL,PEP,PG
KIM,BXP,FRT,O,REG,SPG
KMI,CVX,COP,XOM,OKE,WMB
KLAC,ADI,AMAT,LRCX,MCHP,TXN
KSS,GPS,LB,M,JWN,TGT
KHC,CPB,GIS,SJM,K,MDLZ
KR,COST,DG,TGT,WMT,WBA
LB,GPS,KSS,M,JWN,TPR
LHX,GD,HII,LMT,NOC,RTN
LH,ABT,BDX,HOLX,DGX,UNH
LRCX,AMAT,KLAC,MCHP,MU,TXN
LW,MKC,PG,VRSK,YUM,ZTS
LVS,AMZN,CAT,EMN,MGM,WYNN
LEG,AOS,EMN,FBHS,MAS,SWK
LDOS,ACN,FISV,IEX,PAYX,ROP
LEN,DHI,FBHS,MAS,NVR,PHM
LLY,AMGN,JNJ,MRK,PFE,ZTS
LNC,AMP,MET,PFG,PRU,UNM
LIN,APD,EMN,HON,PPG,ROP
LYV,IDXX,MA,MSFT,MCO,V
LKQ,AME,BWA,ITW,PH,ROK
LMT,GD,LHX,NOC,RTN,UTX
L,BRK-B,GL,HIG,JPM,USB
LOW,BLK,CAT,FBHS,HD,MAS
LYB,CE,DD,EMN,EMR,PH
MTB,CMA,HBAN,PNC,RF,TFC
M,GPS,KSS,LB,JWN,RL
MRO,COP,DVN,FANG,EOG,HES
MPC,EMN,HFC,PH,PSX,VLO
MKTX,CME,ICE,MSCI,NDAQ,SPGI
MAR,BLK,HLT,HST,NCLH,RCL
MMC,AON,AJG,BRK-B,GL,WLTW
MLM,AOS,MAS,ODFL,URI,VMC
MAS,AOS,FBHS,ITW,LEG,SWK
MA,GPN,MSFT,PYPL,CRM,V
MKC,CLX,HSY,HRL,K,MDLZ
MXIM,ADI,KLAC,MCHP,SWKS,TXN
MCD,CB,ECL,SBUX,TRV,YUM
MCK,ABC,CAH,CVS,HSIC,WBA
MDT,ABT,BAX,BDX,SYK,TMO
MRK,ABT,AMGN,LLY,PFE,TMO
MET,GL,LNC,PFG,PRU,UNM
MTD,A,DHR,PKI,TMO,WAT
MGM,GOOGL,GOOG,CAT,LVS,WYNN
MCHP,ADI,AMAT,MXIM,SWKS,TXN
MU,AMAT,KLAC,LRCX,MCHP,WDC
MSFT,ADBE,GOOGL,GOOG,MA,V
MAA,AIV,AVB,EQR,ESS,UDR
MHK,FBHS,LEG,MAS,SWK,WRK
TAP,BF-B,KO,GILD,MDLZ,UNM
MDLZ,CL,GIS,HSY,K,PEP
MNST,MTD,MSFT,MDLZ,PAYX,PEP
MCO,ACN,MA,MSCI,SPGI,V
MS,BAC,C,GS,JPM,LNC
MOS,BWA,CAT,CF,EMN,LYB
MSI,INTU,MA,MSFT,VRSN,V
MSCI,MA,MCO,SPGI,CRM,V
MYL,ETN,PRGO,PRU,TXT,UNM
NDAQ,AJG,BRK-B,CME,ICE,SPGI
NOV,DVN,HAL,HP,SLB,FTI
NTAP,ADBE,HPE,MCHP,CRM,TXN
NFLX,ADBE,GOOG,AMZN,MSFT,CRM
NWL,AAL,FLS,HBI,MAS,WRK
NEM,DGS2,DGS3,DGS5,DGS7,DGS10
NWSA,BLK,CBRE,MS,NWS,TROW
NWS,CBRE,EMN,MS,NWSA,PH
NEE,LNT,AEP,CMS,WEC,XEL
NLSN,FB,IVZ,MHK,SYF,TROW
NKE,AME,BLK,EMR,PVH,VFC
NI,LNT,CMS,ED,DTE,WEC
NBL,DVN,EOG,HES,MRO,PXD
JWN,GPS,KSS,LB,M,RL
NSC,CSX,DOV,KSU,PH,UNP
NTRS,BAC,BK,C,JPM,RJF
NOC,GD,HII,LHX,LMT,RTN
NCLH,AMP,CCL,HLT,MAR,RCL
NRG,AES,EXC,FMC,MSFT,CRM
NUE,CE,EMN,EMR,LNC,PH
NVDA,AMD,AMAT,LRCX,MU,TXN
NVR,DHI,FBHS,LEN,MAS,PHM
ORLY,AAP,AZO,GPC,ROST,TSCO
OXY,COP,EOG,XOM,HAL,SLB
ODFL,EXPD,JBHT,NSC,PH,UNP
OMC,BRK-B,CMCSA,GL,IPG,PRU
OKE,COP,EOG,XOM,KMI,WMB
ORCL,APH,BLK,MA,MSFT,V
PCAR,AME,CMI,ETN,ITW,PH
PKG,EMN,ITW,IP,PH,WRK
PH,CAT,ETN,EMR,ITW,ROK
PAYX,ACN,ADP,FIS,FISV,VRSK
PYPL,ADBE,MA,MSFT,CRM,V
PNR,AME,ETN,EMR,ITW,PH
PBCT,CMA,HBAN,MTB,TFC,ZION
PEP,KO,CL,MDLZ,PG,XEL
PKI,A,DHR,MTD,TMO,WAT
PRGO,AGN,ABC,MYL,PRU,WYNN
PFE,ABT,AMGN,JNJ,LLY,MRK
PM,MO,CLX,CL,MDLZ,PEP
PSX,CVX,XOM,HFC,MPC,VLO
PNW,LNT,CMS,DTE,WEC,XEL
PXD,XEC,CXO,DVN,FANG,EOG
PNC,HBAN,JPM,MTB,TFC,USB
PPG,CE,EMN,ITW,LIN,SHW
PPL,LNT,ED,DUK,PNW,XEL
PFG,AMP,LNC,MET,PRU,UNM
PG,CLX,KO,CL,KMB,PEP
PGR,ALL,CINF,L,TRV,WRB
PLD,AIV,AVB,DRE,EQR,UDR
PRU,GL,LNC,MET,PFG,UNM
PEG,LNT,ED,DTE,EXC,WEC
PSA,AIV,EXR,MAA,UDR,WELL
PHM,DHI,FBHS,LEN,MAS,NVR
PVH,CPRI,EMN,RL,TPR,VFC
QRVO,ADI,KLAC,MXIM,MCHP,SWKS
PWR,EMN,EMR,LNC,LYB,PH
QCOM,ADI,AMAT,MCHP,SWKS,TXN
DGX,ABT,BDX,HOLX,LH,PAYX
RL,CPRI,GPS,PVH,TPR,VFC
RJF,BAC,SCHW,CMA,LNC,MS
RTN,GD,HII,LHX,LMT,NOC
O,EQR,FRT,PEAK,REG,WELL
REG,BXP,FRT,KIM,O,SPG
REGN,ALXN,AMGN,GILD,PKI,VRTX
RF,CFG,CMA,HBAN,KEY,ZION
RSG,CINF,PAYX,ROP,VRSK,WM
RMD,BSX,INTC,ISRG,MSFT,SYK
RHI,AMP,AME,EMN,LNC,PH
ROK,AME,ETN,EMR,ITW,PH
ROL,APH,CTAS,HON,IEX,VRSK
ROP,AME,HON,IEX,ITW,XYL
ROST,DG,GPC,HD,TJX,TSCO
RCL,AMP,CCL,HLT,MAR,NCLH
SPGI,ACN,MA,MCO,MSCI,V
CRM,ADBE,MA,MSFT,NOW,V
SBAC,AMT,CCI,DLR,DRE,EQIX
SLB,EOG,HAL,NOV,PXD,FTI
STX,AMAT,MCHP,MU,TXN,WDC
SEE,AVY,IP,MAS,PKG,WRK
SRE,LNT,CMS,ED,WEC,XEL
NOW,ADBE,ANSS,MA,PYPL,CRM
SHW,APD,ITW,PH,PPG,ROP
SPG,BXP,FRT,KIM,REG,VNO
SWKS,ADI,MXIM,MCHP,QRVO,TXN
SLG,ARE,BXP,FRT,PLD,VNO
SNA,ETN,ITW,PH,SWK,TXT
SO,LNT,AEP,CMS,ED,XEL
LUV,ALK,AAL,DAL,RJF,UAL
SWK,CAT,EMN,ETN,ITW,PH
SBUX,APD,ECL,FISV,PAYX,VRSN
STT,BAC,BK,LNC,MS,NTRS
STE,ABT,BSX,DHR,SYK,TMO
SYK,ABT,BAX,BDX,DHR,MSFT
SIVB,CFG,CMA,KEY,RF,ZION
SYF,AXP,BAC,COF,DFS,RJF
SNPS,ANSS,CDNS,MA,MSFT,V
SYY,CLX,COST,HD,MDLZ,PAYX
TMUS,GOOGL,GOOG,CSCO,MSFT,ZTS
TROW,AMP,BLK,BEN,PFG,RJF
TTWO,ATVI,ADBE,EA,MSFT,NOW
TPR,CPRI,GPS,PVH,RL,VFC
TGT,DG,KSS,M,ROST,TJX
TEL,AME,APH,BLK,ETN,ITW
FTI,DVN,EOG,HAL,NOV,SLB
TFX,ABT,BDX,BSX,DHR,SYK
TXN,ADI,KLAC,MXIM,MCHP,SWKS
TXT,AME,ETN,LNC,PH,PRU
TMO,ABT,A,DHR,MTD,PKI
TIF,EMN,LVS,LOW,RL,TROW
TJX,GPC,HD,ROST,TSCO,VFC
TSCO,GPC,HD,ORLY,ROST,TJX
TDG,AME,IEX,MA,UTX,V
TRV,CB,CINF,HIG,L,WRB
TFC,CMA,FITB,HBAN,MTB,PNC
TWTR,GOOGL,GOOG,AMZN,ADSK,FB
TSN,GIS,HSY,HRL,SJM,K
UDR,AIV,AVB,EQR,ESS,MAA
ULTA,ALXN,DG,ROST,TJX,TSCO
USB,GL,JPM,MTB,PNC,TFC
UAA,GPS,HBI,M,JWN,UA
UA,GPS,HBI,JWN,RL,UAA
UNP,CSX,KSU,NSC,ODFL,PH
UAL,ALK,AAL,DAL,MS,LUV
UNH,ANTM,CNC,CI,HUM,WCG
UPS,MMM,DFS,EXPD,FDX,TROW
URI,CAT,EMN,LNC,PH,TXT
UTX,AME,ETN,GD,HON,ITW
UHS,ABC,CNC,DVA,HCA,ZBH
UNM,AMP,LNC,MET,PFG,PRU
VFC,NKE,PVH,RL,SWK,TJX
VLO,EMN,HFC,MPC,PH,PSX
VAR,ABT,ISRG,MTD,PKI,TMO
VTR,AVB,EQR,PEAK,O,WELL
VRSN,GPN,MA,MSFT,CRM,V
VRSK,ACN,ADP,FISV,PAYX,SPGI
VZ,T,KO,KMB,PEP,PG
VRTX,ADBE,ALXN,INCY,IQV,REGN
VIAC,AMP,CMCSA,DISCA,DISCK,DIS
V,ACN,GPN,MA,MSFT,CRM
VNO,ARE,AVB,BXP,FRT,SLG
VMC,AOS,FBHS,MLM,MAS,ODFL
WRB,AJG,CB,CINF,HIG,TRV
WAB,MMM,CAT,ETN,EMR,PH
WMT,COST,DG,HD,MDLZ,PEP
WBA,ABC,CAH,COST,CVS,MCK
DIS,BRK-B,CMCSA,GL,JPM,VIAC
WM,APD,ECL,PAYX,RSG,VRSK
WAT,A,DHR,MTD,PKI,TMO
WEC,LNT,AEP,CMS,ED,XEL
WCG,ANTM,CNC,CI,HUM,UNH
WFC,BAC,HBAN,JPM,PNC,USB
WELL,AVB,PEAK,O,UDR,VTR
WDC,AMAT,KLAC,LRCX,MU,STX
WU,ACN,AXP,DFS,TROW,V
WRK,EMN,ITW,IP,LNC,PKG
WY,CBRE,DRE,FBHS,LEG,PLD
WHR,AOS,FBHS,LEG,MAS,PFG
WMB,EOG,KMI,OXY,OKE,SLB
WLTW,AON,AJG,CB,GL,MMC
WYNN,CAT,LVS,MGM,SWK,URI
XEL,LNT,AEP,CMS,ED,WEC
XRX,AMP,GLW,DOV,HPQ,LNC
XLNX,ADI,AMAT,MXIM,MCHP,TXN
XYL,AME,ETN,IEX,ITW,PH
YUM,ALL,ECL,MCD,VRSK,V
ZBRA,KEYS,MCHP,CRM,SWKS,TXN
ZBH,ABT,BAX,MDT,STE,SYK
ZION,CFG,CMA,HBAN,KEY,RF
ZTS,ABT,ANSS,MA,SYK,V
DTB3,TB1YR,DGS3MO,DGS1,DGS2,DGS3
TB1YR,SCHW,ETFC,HBAN,DTB3,DGS3MO
DGS3MO,DTB3,TB1YR,DGS1,DGS2,DGS3
DGS1,DGS2,DGS3,DGS5,DGS7,DGS10
DGS2,DGS3,DGS5,DGS7,DGS10,DGS20
DGS3,DGS2,DGS5,DGS7,DGS10,DGS20
DGS5,DGS2,DGS3,DGS7,DGS10,DGS20
DGS7,DGS2,DGS3,DGS5,DGS10,DGS20
DGS10,DGS2,DGS3,DGS5,DGS7,DGS20
DGS20,DGS5,DGS7,DGS10,DAAA,DBAA
DAAA,PBCT,TFC,DGS10,DGS20,DBAA
DBAA,JPM,USB,DGS20,DAAA,DEXJPUS
GOLDAMGBD228NLBM,GOLDPMGBD228NLBM,DEXJPUS,DEXUSAL,DEXSDUS,NIKKEI225
GOLDPMGBD228NLBM,DBAA,GOLDAMGBD228NLBM,DEXJPUS,DEXUSAL,DEXSDUS
DCOILWTICO,DVN,EOG,MRO,DCOILBRENTEU,DHOILNYH
DCOILBRENTEU,COP,EOG,SLB,DCOILWTICO,DHOILNYH
VIXCLS,MSFT,NVDA,RJF,URI,VXDCLS
BAMLHE00EHYIEY,MMM,APH,PFG,TEL,NIKKEI225
DHOILNYH,COP,EOG,HES,DCOILWTICO,DCOILBRENTEU
DEXJPUS,DBAA,GOLDAMGBD228NLBM,GOLDPMGBD228NLBM,DEXUSAL,DEXSDUS
DEXUSUK,GOLDPMGBD228NLBM,DEXJPUS,DEXCAUS,DEXUSAL,DEXSDUS
DEXCAUS,GOLDPMGBD228NLBM,DEXJPUS,DEXUSUK,DEXUSAL,DEXSDUS
DEXUSAL,GOLDPMGBD228NLBM,DEXJPUS,DEXUSUK,DEXCAUS,DEXSDUS
DEXSDUS,GOLDPMGBD228NLBM,DEXJPUS,DEXUSUK,DEXCAUS,DEXUSAL
VXDCLS,AMP,ADSK,RJF,URI,VIXCLS
NIKKEI225,MET,GOLDAMGBD228NLBM,GOLDPMGBD228NLBM,BAMLHE00EHYIEY,DEXJPUS
